doc_rank	rank	affiliation	firstname	initials	lastname
1	4	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA.	Giacomo	G	Oliveira
1	5	Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA.	Suzanna	S	Rachimi
1	6	Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, Massachusetts, USA.	Phuong M	PM	Le
1	7	Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, Massachusetts, USA.	Anna	A	Tarren
1	8	Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, Massachusetts, USA.	Vipheaviny	V	Chea
1	9	Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA.	Jennifer G	JG	Abelin
1	10	Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA; Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA; Harvard Medical School, Boston, Massachusetts, USA; Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts, USA.	David A	DA	Braun
1	11	Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA; Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA; Harvard Medical School, Boston, Massachusetts, USA; Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts, USA.	Patrick A	PA	Ott
1	12	Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA.	Hasmik	H	Keshishian
1	13	Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA; Massachusetts General Hospital Cancer Center, Boston, Massachusetts, USA.	Nir	N	Hacohen
1	14	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA; Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, Massachusetts, USA; Health Informatics Lab, Metropolitan College, Boston University, Boston, Massachusetts, USA.	Derin B	DB	Keskin
1	15	Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA; Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA; Harvard Medical School, Boston, Massachusetts, USA; Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts, USA.	Catherine J	CJ	Wu
1	16	Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA. Electronic address: scarr@broad.mit.edu.	Steven A	SA	Carr
2	0	Department of Investigational Cancer Therapeutics, The University of Texas MD Anderson Cancer Center, Houston, Texas, USA anaing@mdanderson.org.	Aung	A	Naing
2	1	Department of Medical Oncology, The Christie Hospital NHS Foundation Trust and University of Manchester, Manchester, UK.	Fiona	F	Thistlethwaite
2	2	Department of Medical Oncology, Universitair Medisch Centrum Groningen, Groningen, The Netherlands.	Elisabeth G E	EGE	De Vries
2	3	Department of Medical Oncology, Erasmus MC Cancer Institute, Rotterdam, The Netherlands.	Ferry A L M	FALM	Eskens
2	4	Department of Medicine, Section of Hematology and Oncology, University of Wisconsin, Carbone Cancer Center, Madison, Wisconsin, USA.	Nataliya	N	Uboha
2	5	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA.	Patrick A	PA	Ott
2	6	Department of Medical Oncology, Yale University School of Medicine, Yale Cancer Center, New Haven, Connecticut, USA.	Patricia	P	LoRusso
2	7	Department of Medical Oncology, Hospital Clinic Barcelona/IDIBAPS, Barcelona, Spain.	Javier	J	Garcia-Corbacho
2	8	Department of Medical Oncology, START Madrid-CIOCC, Hospital Universitario HM Sanchinarro, Madrid, Spain.	Valentina	V	Boni
2	9	Sarah Cannon Research Institute/Tennessee Oncology, Nashville, Tennessee, USA.	Johanna	J	Bendell
2	10	Genitourinary Oncology Service, Memorial Sloan Kettering Cancer Center, New York, New York, USA.	Karen A	KA	Autio
2	11	Department of Medical Oncology, Beatson West of Scotland Cancer Centre, Glasgow, UK.	Manreet	M	Randhawa
2	12	Department of Medical Oncology, Indiana University, Melvin and Bren Simon Cancer Center, Indianapolis, Indiana, USA.	Greg	G	Durm
2	13	Medical Oncology Department, Institut Català d'Oncologia - IDIBELL, L'Hospitalet-Barcelona, Barcelona, Spain.	Marta	M	Gil-Martin
2	14	CytomX Therapeutics Inc, South San Francisco, California, USA.	Mark	M	Stroh
2	15	CytomX Therapeutics Inc, South San Francisco, California, USA.	Alison L	AL	Hannah
2	16	Drug Development Unit, Sarah Cannon Research Institute and University College London Cancer Institute, London, UK.	Hendrik-Tobias	HT	Arkenau
2	17	Department of Medical Oncology, Virginia Cancer Specialists, Fairfax, Virginia, USA.	Alexander	A	Spira
3	0	Department of Medical Oncology, Earle A. Chiles Research Institute, Providence Cancer Institute, Portland, Oregon, USA Rachel.Sanborn@providence.org.	Rachel E	RE	Sanborn
3	1	Department of Medical Oncology, The Angeles Clinic and Research Institute, A Cedars-Sinai Affiliate, Los Angeles, California, USA.	Omid	O	Hamid
3	2	Department of Medical Oncology, Universitair Medisch Centrum Groningen, University of Groningen, Groningen, Netherlands.	Elisabeth Ge	EG	de Vries
3	3	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA.	Patrick A	PA	Ott
3	4	Department of Medical Oncology, Hospital Clinic Barcelona/IDIBAPS, Barcelona, Spain.	Javier	J	Garcia-Corbacho
3	5	Department of Medical Oncology, START Madrid-CIOCC, Hospital Universitario HM Sanchinarro, Madrid, Spain.	Valentina	V	Boni
3	6	Sarah Cannon Research Institute/Tennessee Oncology, Nashville, Tennessee, USA.	Johanna	J	Bendell
3	7	Genitourinary Oncology Service, Memorial Sloan Kettering Cancer Center, New York, New York, USA.	Karen A	KA	Autio
3	8	Department of Medicine, Perlmutter Cancer Center at NYU Langone Medical Center, New York, New York, USA.	Daniel C	DC	Cho
3	9	Department of Medical Oncology, Northern Centre for Cancer Care, Newcastle Hospitals NHS Trust and Newcastle University, Newcastle upon Tyne, UK.	Ruth	R	Plummer
3	10	CytomX Therapeutics Inc, South San Francisco, California, USA.	Mark	M	Stroh
3	11	CytomX Therapeutics Inc, South San Francisco, California, USA.	Lawrence	L	Lu
3	12	Department of Medical Oncology, The Christie Hospital NHS Foundation Trust and University of Manchester, Manchester, UK.	Fiona	F	Thistlethwaite
4	0	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA."	Giacomo	G	Oliveira
4	1	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Kari	K	Stromhaug
4	2	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Susan	S	Klaeger
4	3	"TScan Therapeutics, Waltham, MA, USA.
Society of Fellows, Harvard University, Cambridge, MA, USA."	Tomasz	T	Kula
4	4	Center for Cancer Research, Massachusetts General Hospital, Boston, MA, USA.	Dennie T	DT	Frederick
4	5	Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA.	Phuong M	PM	Le
4	6	Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA.	Juliet	J	Forman
4	7	Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA.	Teddy	T	Huang
4	8	"Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA."	Shuqiang	S	Li
4	9	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Wandi	W	Zhang
4	10	TScan Therapeutics, Waltham, MA, USA.	Qikai	Q	Xu
4	11	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Nicoletta	N	Cieri
4	12	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Karl R	KR	Clauser
4	13	"Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA."	Sachet A	SA	Shukla
4	14	Department of Data Science, Dana-Farber Cancer Institute, Boston, MA, USA.	Donna	D	Neuberg
4	15	Immunitrack, Copenhagen, Denmark.	Sune	S	Justesen
4	16	TScan Therapeutics, Waltham, MA, USA.	Gavin	G	MacBeath
4	17	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Steven A	SA	Carr
4	18	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA."	Edward F	EF	Fritsch
4	19	"Harvard Medical School, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Center for Cancer Research, Massachusetts General Hospital, Boston, MA, USA."	Nir	N	Hacohen
4	20	"Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Center for Cancer Research, Massachusetts General Hospital, Boston, MA, USA."	Moshe	M	Sade-Feldman
4	21	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA."	Kenneth J	KJ	Livak
4	22	"Harvard Medical School, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Center for Cancer Research, Massachusetts General Hospital, Boston, MA, USA."	Genevieve M	GM	Boland
4	23	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA."	Patrick A	PA	Ott
4	24	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA."	Derin B	DB	Keskin
4	25	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA. cwu@partners.org.
Harvard Medical School, Boston, MA, USA. cwu@partners.org.
Broad Institute of MIT and Harvard, Cambridge, MA, USA. cwu@partners.org.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA. cwu@partners.org."	Catherine J	CJ	Wu
5	0	1Stanford Cancer Institute.	Susan M	SM	Swetter
5	1	2Fred Hutchinson Cancer Research Center/Seattle Cancer Care Alliance.	John A	JA	Thompson
5	2	3University of Wisconsin Carbone Cancer Center.	Mark R	MR	Albertini
5	3	4Memorial Sloan Kettering Cancer Center.	Christopher A	CA	Barker
5	4	5UC San Diego Moores Cancer Center.	Joel	J	Baumgartner
5	5	6Massachusetts General Hospital Cancer Center.	Genevieve	G	Boland
5	6	7UCLA Jonsson Comprehensive Cancer Center.	Bartosz	B	Chmielowski
5	7	8Fred & Pamela Buffett Cancer Center.	Dominick	D	DiMaio
5	8	9University of Michigan Rogel Cancer Center.	Alison	A	Durham
5	9	10Siteman Cancer Center at Barnes-Jewish Hospital and Washington University School of Medicine.	Ryan C	RC	Fields
5	10	11St. Jude Children's Research Hospital/The University of Tennessee Health Science Center.	Martin D	MD	Fleming
5	11	12Yale Cancer Center/Smilow Cancer Hospital.	Anjela	A	Galan
5	12	13Case Comprehensive Cancer Center/University Hospitals Seidman Cancer Center and Cleveland Clinic Taussig Cancer Institute.	Brian	B	Gastman
5	13	14Huntsman Cancer Institute at the University of Utah.	Kenneth	K	Grossmann
5	14	15AIM at Melanoma.	Samantha	S	Guild
5	15	16O'Neal Comprehensive Cancer Center at UAB.	Ashley	A	Holder
5	16	17Vanderbilt-Ingram Cancer Center.	Douglas	D	Johnson
5	17	18Mayo Clinic Cancer Center.	Richard W	RW	Joseph
5	18	19Abramson Cancer Center at the University of Pennsylvania.	Giorgos	G	Karakousis
5	19	20The Ohio State University Comprehensive Cancer Center - James Cancer Hospital and Solove Research Institute.	Kari	K	Kendra
5	20	21The Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins.	Julie R	JR	Lange
5	21	22University of Colorado Cancer Center.	Ryan	R	Lanning
5	22	23City of Hope National Medical Center.	Kim	K	Margolin
5	23	24Fox Chase Cancer Center.	Anthony J	AJ	Olszanski
5	24	25Dana-Farber/Brigham and Women's Cancer Center.	Patrick A	PA	Ott
5	25	26The University of Texas MD Anderson Cancer Center.	Merrick I	MI	Ross
5	26	27Duke Cancer Institute.	April K	AK	Salama
5	27	28UT Southwestern Simmons Comprehensive Cancer Center.	Rohit	R	Sharma
5	28	29Roswell Park Comprehensive Cancer Center.	Joseph	J	Skitzki
5	29	30Robert H. Lurie Comprehensive Cancer Center of Northwestern University.	Jeffrey	J	Sosman
5	30	31Moffitt Cancer Center; and.	Evan	E	Wuthrick
5	31	32National Comprehensive Cancer Network.	Nicole R	NR	McMillian
5	32	32National Comprehensive Cancer Network.	Anita M	AM	Engh
6	0	Bristol Myers Squibb, Princeton, New Jersey. Ming.Lei1@bms.com.	Ming	M	Lei
6	1	Bristol Myers Squibb, Princeton, New Jersey.	Nathan O	NO	Siemers
6	2	Bristol Myers Squibb, Princeton, New Jersey.	Dimple	D	Pandya
6	3	Bristol Myers Squibb, Princeton, New Jersey.	Han	H	Chang
6	4	Bristol Myers Squibb, Princeton, New Jersey.	Teresa	T	Sanchez
6	5	Bristol Myers Squibb, Princeton, New Jersey.	Christopher	C	Harbison
6	6	Bristol Myers Squibb, Princeton, New Jersey.	Peter M	PM	Szabo
6	7	Gastrointestinal Oncology Service, Memorial Sloan Kettering Cancer Center, New York, New York.	Yelena	Y	Janjigian
6	8	Dana-Farber Cancer Institute, Boston, Massachusetts.	Patrick A	PA	Ott
6	9	Genitourinary Medical Oncology and Immunology, The University of Texas MD Anderson Cancer Center, Houston, Texas.	Padmanee	P	Sharma
6	10	Drug Development Unit, Sarah Cannon Research Institute at Tennessee Oncology, Nashville, Tennessee.	Johanna	J	Bendell
6	11	Beatson West of Scotland Cancer Centre, University of Glasgow, Glasgow, United Kingdom.	Thomas R Jeffry	TRJ	Evans
6	12	"Fondazione IRCCS Istituto Nazionale dei Tumori, Milan, Italy.
University of Milan, Milan, Italy."	Filippo	F	de Braud
6	13	Department of Medicine, The Royal Marsden NHS Foundation Trust, Sutton, Surrey, United Kingdom.	Ian	I	Chau
6	14	Bristol Myers Squibb, Princeton, New Jersey.	Zachary	Z	Boyd
7	0	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA."	Elizabeth I	EI	Buchbinder
7	1	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Jason L	JL	Weirather
7	2	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Michael	M	Manos
7	3	Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA.	Brian J	BJ	Quattrochi
7	4	Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA.	Lynette M	LM	Sholl
7	5	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Ryan C	RC	Brennick
7	6	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Peter	P	Bowling
7	7	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Nancy	N	Bailey
7	8	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Lisa	L	Magarace
7	9	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA.
Center for Immuno-Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA."	Patrick A	PA	Ott
7	10	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA."	Rizwan	R	Haq
7	11	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA."	Benjamin	B	Izar
7	12	Division of Biostatistics, Department of Data Sciences, Dana-Farber Cancer Institute, Boston, MA, USA.	Anita	A	Giobbie-Hurder
7	13	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA.
Center for Immuno-Oncology, Dana-Farber Cancer Institute, Boston, MA, USA."	F Stephen	FS	Hodi
8	0	"Harvard Medical School, 25 Shattuck Street, Boston, MA, 02115, USA.
Center for Immuno-Oncology, Department of Medical Oncology, Gastrointestinal Cancer Center, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Avenue, Boston, MA, 02215, USA."	Kevin	K	Tyan
8	1	Center for Immuno-Oncology, Department of Medical Oncology, Gastrointestinal Cancer Center, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Avenue, Boston, MA, 02215, USA.	Joanna	J	Baginska
8	2	Center for Immuno-Oncology, Department of Medical Oncology, Gastrointestinal Cancer Center, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Avenue, Boston, MA, 02215, USA.	Martha	M	Brainard
8	3	Division of Biostatistics, Department of Data Sciences, Dana-Farber Cancer Institute, Boston, MA, USA.	Anita	A	Giobbie-Hurder
8	4	Center for Immuno-Oncology, Department of Medical Oncology, Gastrointestinal Cancer Center, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Avenue, Boston, MA, 02215, USA.	Mariano	M	Severgnini
8	5	Center for Immuno-Oncology, Department of Medical Oncology, Gastrointestinal Cancer Center, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Avenue, Boston, MA, 02215, USA.	Michael	M	Manos
8	6	"Harvard Medical School, 25 Shattuck Street, Boston, MA, 02115, USA.
Center for Immuno-Oncology, Department of Medical Oncology, Gastrointestinal Cancer Center, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Avenue, Boston, MA, 02215, USA."	Rizwan	R	Haq
8	7	"Harvard Medical School, 25 Shattuck Street, Boston, MA, 02115, USA.
Center for Immuno-Oncology, Department of Medical Oncology, Gastrointestinal Cancer Center, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Avenue, Boston, MA, 02215, USA."	Elizabeth I	EI	Buchbinder
8	8	"Harvard Medical School, 25 Shattuck Street, Boston, MA, 02115, USA.
Center for Immuno-Oncology, Department of Medical Oncology, Gastrointestinal Cancer Center, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Avenue, Boston, MA, 02215, USA."	Patrick A	PA	Ott
8	9	"Harvard Medical School, 25 Shattuck Street, Boston, MA, 02115, USA.
Center for Immuno-Oncology, Department of Medical Oncology, Gastrointestinal Cancer Center, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Avenue, Boston, MA, 02215, USA."	F Stephen	FS	Hodi
8	10	"Harvard Medical School, 25 Shattuck Street, Boston, MA, 02115, USA. Osamae_rahma@DFCI.harvard.edu.
Center for Immuno-Oncology, Department of Medical Oncology, Gastrointestinal Cancer Center, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Avenue, Boston, MA, 02215, USA. Osamae_rahma@DFCI.harvard.edu."	Osama E	OE	Rahma
9	0	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Zhuting	Z	Hu
9	1	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA."	Donna E	DE	Leet
9	2	Novo Nordisk Foundation Center for Protein Research, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.	Rosa L	RL	Allesøe
9	3	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Giacomo	G	Oliveira
9	4	"Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA."	Shuqiang	S	Li
9	5	Department of Cancer Immunology and Virology, Dana-Farber Cancer Institute, Boston, MA, USA.	Adrienne M	AM	Luoma
9	6	Center for Virology and Vaccine Research, Beth Israel Deaconess Medical Center, Boston, MA, USA.	Jinyan	J	Liu
9	7	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA."	Juliet	J	Forman
9	8	Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA.	Teddy	T	Huang
9	9	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA.
Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA."	J Bryan	JB	Iorgulescu
9	10	Department of Chemistry, Massachusetts Institute of Technology, Cambridge, MA, USA.	Rebecca	R	Holden
9	11	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Siranush	S	Sarkizova
9	12	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Department of Academic Haematology, University College London, London, UK."	Satyen H	SH	Gohil
9	13	Department of Data Sciences, Dana-Farber Cancer Institute, Boston, MA, USA.	Robert A	RA	Redd
9	14	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Jing	J	Sun
9	15	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Liudmila	L	Elagina
9	16	Department of Data Sciences, Dana-Farber Cancer Institute, Boston, MA, USA.	Anita	A	Giobbie-Hurder
9	17	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Wandi	W	Zhang
9	18	Center for Virology and Vaccine Research, Beth Israel Deaconess Medical Center, Boston, MA, USA.	Lauren	L	Peter
9	19	Center for Immuno-Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Zoe	Z	Ciantra
9	20	"Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA.
Center for Immuno-Oncology, Dana-Farber Cancer Institute, Boston, MA, USA."	Scott	S	Rodig
9	21	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Oriol	O	Olive
9	22	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Keerthi	K	Shetty
9	23	Department of Cancer Immunology and Virology, Dana-Farber Cancer Institute, Boston, MA, USA.	Jason	J	Pyrdol
9	24	"Department of Data Sciences, Dana-Farber Cancer Institute, Boston, MA, USA.
Center for Immuno-Oncology, Dana-Farber Cancer Institute, Boston, MA, USA."	Mohamed	M	Uduman
9	25	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA."	Patrick C	PC	Lee
9	26	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA."	Pavan	P	Bachireddy
9	27	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA."	Elizabeth I	EI	Buchbinder
9	28	"Harvard Medical School, Boston, MA, USA.
Department of Surgery, Brigham and Women's Hospital, Boston, MA, USA."	Charles H	CH	Yoon
9	29	Department of Data Sciences, Dana-Farber Cancer Institute, Boston, MA, USA.	Donna	D	Neuberg
9	30	"Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Department of Chemistry, Massachusetts Institute of Technology, Cambridge, MA, USA.
The Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology, Cambridge, MA, USA."	Bradley L	BL	Pentelute
9	31	"Harvard Medical School, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Center for Cancer Research, Massachusetts General Hospital, Boston, MA, USA."	Nir	N	Hacohen
9	32	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA."	Kenneth J	KJ	Livak
9	33	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA."	Sachet A	SA	Shukla
9	34	"Section for Bioinformatics, Department of Health Technology, Technical University of Denmark, Lyngby, Denmark.
Center for Genomic Medicine, Copenhagen University Hospital, Copenhagan, Denmark."	Lars Rønn	LR	Olsen
9	35	"Harvard Medical School, Boston, MA, USA.
Center for Virology and Vaccine Research, Beth Israel Deaconess Medical Center, Boston, MA, USA.
Ragon Institute of MGH, MIT and Harvard, Cambridge, MA, USA."	Dan H	DH	Barouch
9	36	"Harvard Medical School, Boston, MA, USA.
Department of Cancer Immunology and Virology, Dana-Farber Cancer Institute, Boston, MA, USA."	Kai W	KW	Wucherpfennig
9	37	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA."	Edward F	EF	Fritsch
9	38	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA."	Derin B	DB	Keskin
9	39	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA."	Catherine J	CJ	Wu
