rank	doi	journal	publication_date	pubmed_id	title
10	10.1038/s41571-020-00460-2	Nature reviews. Clinical oncology	2021-01-22	33473220|30774998|30691374|23945592|31011208|27192170|32238575|30568303|30568305|24043743|26516200|27149842|24782321|25594174|26871470|26980598|25409260|26359337|26940869|25765070|26028255|30395155|30842677|29867230|30150660|26997480|22318521|27350335|28031159|30894752|30742119|29115304|28678778|28678784|4549796|29226910|29751996|31015635|24894089|32045313|28978689|28228285|31844290|26416257|17911588|19890126|25901682|25493333|24837101|31495665|31611696|32308001|32764681|29643231|24987109|29174843|30683863|31036766|23770567|31804810|32259744|29458962|28869761|18219309|23890070|20619696|16818737|21029957|26449178|23080391|6255921|31467405|29466754|5177508|25170049|26688350|30952804|21841802|31255505|28628092|30006565|31227543|31110315|25957682|30676822|17950003|22623779|27789795|28514453|27789799|28648661|27939672|30778252|30154266|30635237|26781939|10725753|11086036|9480979|31645760|31810883|20940398|15780993|18292535|10411927|28111070|25531942|18565862|24812403|28755541|23087058|29126798|27775706|26441961|31801070|30463850|20156971|32497499|30635355|29458967|33064988|30962585|29567706|31358999|24891321|29403468	Advances in the development of personalized neoantigen-based therapeutic cancer vaccines.
11	10.1016/j.kint.2020.12.015	Kidney international	2020-12-29	33359528|32027461|21401869|22830463|30516812|28076715|31206316|15905503|18784101|18212277|31896554|30992053|31562797|28889792|20925547|30798791|32042196|32588077|30016177|31672794|30125216|24662767|31206226|24730453|26962927|24493726|32043028|33102962|25891173|28835386|29863979|23818517|25838373|31624262	A multi-center study on safety and efficacy of immune checkpoint inhibitors in cancer patients with kidney transplant.
12	10.1016/j.xcrm.2020.100141	Cell reports. Medicine	2020-12-10	33294862|32001676|24510963|33064988|22318521|26258412|20385014|29309059|29075258|22918931|25838375|23319654|26085931|31942075|17440104|32110781|20080641|17859590|26001779|25924071|29997287|32162785|26137399|31775882|17082316|30425105|24566718|29348598|29942309|30541882|29353553|29896449|26404496|29503570|25632034|32042196|24400004	Combined TCR Repertoire Profiles and Blood Cell Phenotypes Predict Melanoma Patient Response to Personalized Neoantigen Therapy plus Anti-PD-1.
13	10.1016/j.cell.2020.08.053	Cell	2020-10-17	33064988	A Phase Ib Trial of Personalized Neoantigen Therapy Plus Anti-PD-1 in Patients with Advanced Melanoma, Non-small Cell Lung Cancer, or Bladder Cancer.
14	10.1158/1078-0432.CCR-20-1790	Clinical cancer research : an official journal of the American Association for Cancer Research	2020-10-09	33028595	Improved Survival Associated with Local Tumor Response Following Multisite Radiotherapy and Pembrolizumab: Secondary Analysis of a Phase I Trial.
15	10.1002/cncr.32966	Cancer	2020-06-23	32567084|30845259|26380086|31043390|31053497|27687304|26030049|28945858|24240160|26783344|21546723|21746882|21605467|30431562|30871542|17120402|31575933|23292894|22393130|23359064|29401166|19031030|27358490|26558876|21790683|26159695|27903418|28068177|10896912|26633184|29043290|28368458|23945234|29975414|24357284|22155183|27266980|25891304|30131322|28163705|29958857|29487980|28970729|29123955|18594491|31356558|31014995|25912039|29230210|29113194|28288458|29320654|22614989|31800340|16497887|16143122|25773946|27140411	Vitamin D intake is associated with decreased risk of immune checkpoint inhibitor-induced colitis.
16	10.1200/JOP.19.00672	JCO oncology practice	2020-05-14	32401685	Safety of Immune Checkpoint Inhibitors in Patients With Pre-Existing Inflammatory Bowel Disease and Microscopic Colitis.
17	10.1002/cncr.32883	Cancer	2020-04-23	32320048	Pembrolizumab for the treatment of programmed death-ligand 1-positive advanced carcinoid or pancreatic neuroendocrine tumors: Results from the KEYNOTE-028 study.
18	10.1634/theoncologist.2019-0659	The oncologist	2020-02-12	32043699|9973463|22658128|28643391|29293878|28932782|28961840|26962927|30459942|30190859|30126374|29140833|27502714|25858804|25962109|30413665|26752406|29023959|19889124|28076715|27614165|29705511|28315636|28761949|27777773|27529458|27932166|28384452|30603124|26988410|30107088|28228726|29198341|24493726|9049215|21694936|29028789|26951628|27987584|29257718|29215617|15816877|22045767|17911605|30347289|27771741|26082835|23818517|28719552	The Safety and Efficacy of Checkpoint Inhibitors in Transplant Recipients: A Case Series and Systematic Review of Literature.
19	10.6004/jnccn.2020.0007	Journal of the National Comprehensive Cancer Network : JNCCN	2020-02-06	32023525	NCCN Guidelines Insights: Uveal Melanoma, Version 1.2019.
20	10.1158/2159-8290.CD-19-0790	Cancer discovery	2020-01-25	31974169	Directing Traffic: How to Effectively Drive T Cells into Tumors.
21	10.1038/s41598-019-56943-5|10.1038/nature06884|10.3390/jpm2010001|10.3390/jpm6010013|10.1016/j.cell.2019.02.003|10.3390/jpm7040012|10.3390/jpm4020163|10.1038/nri.2017.131|10.1126/science.aaa4971|10.1093/intimm/dxw027|10.1016/j.molmed.2017.08.007|10.1126/science.aar7112|10.1038/s41586-018-0792-9|10.1038/nature22991|10.1038/s41586-018-0810-y|10.1126/science.aaa3828|10.1038/nature23003|10.1056/NEJMoa0810097|10.1158/1078-0432.CCR-07-1881|10.1007/s00251-008-0341-z|10.1038/nchembio.2318|10.1002/cbic.201300797|10.1039/c4sc03877k|10.1039/c6ob00208k|10.1002/cbic.201300796|10.1002/psc.804|10.1038/nprot.2007.454|10.1021/acscentsci.8b00098	Scientific reports	2020-01-22	31959774|18421352|25562699|30901547|25563222|29226910|27235694|28867556|29567706|30568305|28678778|30568303|25837513|28678784|19890126|18172268|19002680|28244989|24616257|29403637|24616230|17121420|18079725|29721534	Automated Flow Synthesis of Tumor Neoantigen Peptides for Personalized Immunotherapy.
22	10.1016/j.jtho.2019.12.109	Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer	2019-12-25	31870883	Pembrolizumab After Two or More Lines of Previous Therapy in Patients With Recurrent or Metastatic SCLC: Results From the KEYNOTE-028 and KEYNOTE-158 Studies.
23	10.1016/j.clcc.2019.09.001	Clinical colorectal cancer	2019-12-10	31813769	Real-world Treatment Patterns and Clinical Outcomes Across Lines of Therapy in Patients With Advanced/Metastatic Gastric or Gastroesophageal Junction Cancer.
24	10.1158/2326-6066.CIR-19-0545	Cancer immunology research	2019-11-09	31699709|9480979|15252201|17295916|21282551|12488431|23894722|16636134|23404408|17892846|22174453|25891173|21872627|16424890|25838373|28187290|17517626|17911588|20525992|15471553|29480817|20075244|24309609|15623618|10188055|18759926|24622688|25524312|11668506|25840693|28891423|25633712|12186971|23032745|20083398|18418403|25891304|29696308|29658430|23455713|30267032|28388966|26608912|15384929|10201913|12138174|20194765|18566444|24777970|17441676|24801836	Combined Vaccination with NY-ESO-1 Protein, Poly-ICLC, and Montanide Improves Humoral and Cellular Immune Responses in Patients with High-Risk Melanoma.
25	10.1186/s40425-019-0782-y	Journal for immunotherapy of cancer	2019-11-09	31699149|18789150|3576016|20525992|26725537|29153542|25190764|29110018|30170821|26452570|30191256|26505811|30238891|29562145|23475400|25443003|29135615|29736922|9842949|23446092|27988158|28570290|28734759|29188198|24388022|28013246|18600380|25838373	Adoption of immunotherapy in the community for patients diagnosed with metastatic melanoma.
26	10.1007/s10120-019-01021-y	Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association	2019-11-05	31679092	Correction to: Developing real-world comparators for clinical trials in chemotherapy-refractory patients with gastric cancer or gastroesophageal junction cancer.
27	10.1016/j.jtho.2019.10.004	Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer	2019-10-21	31629915	Nivolumab Monotherapy and Nivolumab Plus Ipilimumab in Recurrent Small Cell Lung Cancer: Results From the CheckMate 032 Randomized Cohort.
28	10.1007/s10120-019-01008-9	Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association	2019-09-25	31549264|24343171|27248626|29944008|26502403|28056124|25792290|29543932|23937356|27096309|26884585|21422403|29159410|30620402|27592805|26161282|30111974|27858180|30207593|28605939|28993052|28941466	Developing real-world comparators for clinical trials in chemotherapy-refractory patients with gastric cancer or gastroesophageal junction cancer.
29	10.1200/EDBK_238001	American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting	2019-05-18	31099621	An Update on Adoptive T-Cell Therapy and Neoantigen Vaccines.
30	10.3389/fonc.2019.00199	Frontiers in oncology	2019-04-16	30984622|15738534|15908648|16112300|1707746|19097774|22702482|25113773|25754329|25828526|26712903|27285122|27649551|28397821|28463153|28662869|29437535|29449659|29562148|29566262|30280658|30397353	Palliative Radiation Therapy for Vertebral Metastases and Metastatic Cord Compression in Patients Treated With Anti-PD-1 Therapy.
31	10.1186/s40425-019-0512-5	Journal for immunotherapy of cancer	2019-03-30	30922394|26930325|27622997|7327978|22777757|21098782|26882087|24572565|25409260|16843351|29033130|28213000|26086965|27742636|26136188|17351260|7632965|27162688|27475805|26849842|6829490|28506965|25034862|26341892|25239112|16389251|18280327|26997480|28069728|24285872|26676067|21330339|19837679|9508197|3558716|28396509|25468746|20046124|22762315|23743018|26115796|25891304|27799234|12859163|6805298|1244564|26900952|29449192|25891173|19460605|26992568|8477683	Complex inter-relationship of body mass index, gender and serum creatinine on survival: exploring the obesity paradox in melanoma patients treated with checkpoint inhibition.
32	10.1158/2159-8290.CD-18-1357	Cancer discovery	2019-03-14	30862723|30568305|27281205|28678784|26501954|27550819|25132836|23455713|28848055|25837513|29226910|27079802|28650338|29942093|30557521|15340416|28678778|25667273|25428506|29654146|27367184|27301722|25428505|24812273|30568303|30309915|28397821|25838375|28886381|25901682|29326431|28024156|26645196|28102259|30154192|27096321|23788581|25838374|27146699|25970248|28239469|18236040|28446615|25838373|23307859	Cancer Vaccines: Steering T Cells Down the Right Path to Eradicate Tumors.
33	10.1016/j.hoc.2019.01.001	Hematology/oncology clinics of North America	2019-03-06	30833004	Immunotherapy: An Old and New Modality for the Treatment of Cancer.
34	10.1016/j.hoc.2018.12.009	Hematology/oncology clinics of North America	2019-03-06	30832998	Intralesional Cancer Immunotherapies.
35	10.1002/cncr.31892	Cancer	2019-01-29	30690710	A phase 2 study of glembatumumab vedotin, an antibody-drug conjugate targeting glycoprotein NMB, in patients with advanced melanoma.
36	10.1038/s41586-018-0792-9|10.1126/science.aaa4971|10.1038/nrc3670|10.1038/nri.2017.131|10.1038/nature22991|10.1126/science.aaa3828|10.1038/nature23003|10.1038/nature12213|10.1158/1078-0432.CCR-13-0551|10.1126/sciimmunol.aan8664|10.1182/blood-2018-04-843763|10.1016/j.ccell.2017.06.003|10.1016/j.immuni.2017.02.007|10.1093/neuonc/nox036.071|10.1038/bjc.2017.142|10.1093/neuonc/noq001|10.1016/j.bcp.2016.12.011|10.1093/neuonc/nov151|10.1158/1078-0432.CCR-17-1846|10.1200/JCO.2009.26.3541|10.1056/NEJMoa043331|10.1016/S1470-2045(15)00088-1|10.1007/s00251-008-0341-z|10.1186/gb-2011-12-1-r1|10.1038/nbt.1523|10.1038/nature09837|10.1038/nature09744|10.1093/bioinformatics/btr446|10.1038/ng.806|10.1038/nbt.1754|10.1002/humu.22771|10.1093/bioinformatics/btu169|10.1038/ng.2653|10.1038/351290a0|10.1016/j.jim.2010.10.011|10.1038/s41598-017-03855-x|10.1073/pnas.1423482112|10.1158/1078-0432.CCR-12-1182|10.1182/blood-2017-03-770719|10.1002/0471142727.mb0422s107|10.1038/nature20123|10.1186/gb-2009-10-3-r25|10.1186/1471-2105-12-323|10.1038/nmeth.3800|10.1186/1472-6750-11-80|10.1093/nar/gkr771|10.1016/S0022-2836(05)80360-2|10.1038/nmeth.3364|10.1038/nature12912	Nature	2018-12-21	30568305	Neoantigen vaccine generates intratumoral T cell responses in phase Ib glioblastoma trial.
37	10.1200/JCO.2018.78.2276	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2018-12-18	30557521	T-Cell-Inflamed Gene-Expression Profile, Programmed Death Ligand 1 Expression, and Tumor Mutational Burden Predict Efficacy in Patients Treated With Pembrolizumab Across 20 Cancers: KEYNOTE-028.
38	10.1016/j.ygyno.2018.11.017	Gynecologic oncology	2018-12-12	30522700	Pembrolizumab in patients with programmed death ligand 1-positive advanced ovarian cancer: Analysis of KEYNOTE-028.
39	10.1007/s11912-018-0738-2	Current oncology reports	2018-12-01	30498900|8120958|29443657|22343569|1396582|25901682|25858804|23676462|28678778|26511282|29628312|28889792|16284400|29658430|22318517|25765070|22658127|24812403|23637340|26309093|3893689|22581824|28024156|11568001|7543139|25837513|21892917|28596308|21436444|8596936|20179267|28678784|10561265|18250415|25594174|12391205|18055460|27760322|28121507|24907378|25428506|18457330|26181000|22318521|11015443|8558223|7884429|3496540|27959684|16293754|21263073|24782321|29226910|27528724|17056533|24043743|12773629|25428507|10685652|27714434|11331315|23890059|26027431|26028255|20818862|7553894|25409260|29358500|22237626|28891423|22658128|25403209|16757567	Transformation of Old Concepts for a New Era of Cancer Immunotherapy: Cytokine Therapy and Cancer Vaccines as Combination Partners of PD1/PD-L1 Inhibitors.
40	10.1016/j.ccell.2018.10.007	Cancer cell	2018-11-14	30423297|9430231|26901407|18832713|27528724|8770874|19304471|27501248|2784858|16688182|22581824|25765070|24778315|26516200|18173375|17400610|26389673|2124236|21508983|12660922|17395538|12752672|17873878|24667641|29241547|25428505|28279590|17932562|21173239|25083336|22118527|18545704|11244051|24089328|26205583|20536563|26027431|10851045|28397821|21333600|22172723|27498556|27192565|27698113|28954221|16888018|11568001|23922299|26137416|27789795|27525433	PEGylated IL-10 (Pegilodecakin) Induces Systemic Immune Activation, CD8
41	10.1016/j.cell.2018.09.006	Cell	2018-11-06	30388455|26198319|26383138|29195078|24836921|28723893|29232554|29101163|29539425|26645196|26780092|25838373|28187290|29301958|29033130|28650338|26359337|27533448|29993362|26193793|19261174|22544022|20160101|25822800|26997480|28783722|24984854|29608179|21816040|16199517|28018602|18216267|26359985|23104886|22419253|28813415|26027431|22460902|27124452	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade.
42	10.1016/j.jaad.2018.06.045	Journal of the American Academy of Dermatology	2018-10-17	30322559	A comparison of skin cancer screening and treatment costs at a Massachusetts cancer center, 2008 versus 2013.
43	10.1126/science.aar3593	Science (New York, N.Y.)	2018-10-13	30309915|10447503|12717023|14963618|15899795|16413538|18211710|18245491|19451168|19906727|20644199|21703392|22300766|22318521|23396013|23644516|23724846|23890060|23945592|24113773|24626129|24633410|24657537|24714771|24987110|25143287|25319062|25409260|25428505|25594174|25765070|25891173|25891174|25970248|26028255|26359337|26454859|26899170|26940869|26952546|26997480|27148822|27247226|27268795|27552095|27671167|27788043|27863197|28123883|28251903|28397821|28596308|28650338|29132144|29951597	Pan-tumor genomic biomarkers for PD-1 checkpoint blockade-based immunotherapy.
44	10.1016/j.ijrobp.2018.09.010	International journal of radiation oncology, biology, physics	2018-09-19	30227198	The Impact of Radiation Therapy on Lymphocyte Count and Survival in Metastatic Cancer Patients Receiving PD-1 Immune Checkpoint Inhibitors.
45	10.1097/CMR.0000000000000509	Melanoma research	2018-09-14	30211813	Results from phase II trial of HSP90 inhibitor, STA-9090 (ganetespib), in metastatic uveal melanoma.
46	10.1007/s00262-018-2241-x	Cancer immunology, immunotherapy : CII	2018-09-08	30191256|20525992|25795410|26037941|22648554|27480103|25399551|24054424|26027431|29573941|27269740|25891173|24661650|26839346|22356324|21150923|21639808|27622997|26115796|25891304|28359784|30002157|28243579|26181250|20004617|26742998|28241198|26563354|28889792|25265492|28189914|24089443|25265494	Management of metastatic melanoma: improved survival in a national cohort following the approvals of checkpoint blockade immunotherapies and targeted therapies.
47	10.1182/blood-2018-04-843763	Blood	2018-08-29	30150207|15064769|28233802|8702849|24121927|28678778|29311380|24777245|23227083|11792386|24952902|1709722|26858965|28931605|24348479|23415222|11466353|21135507|8211163|19002680|29226910|11479225|26463711|16373502|28636589|25619506|26372948|21047511|27550819|12079556|24172704|28228285|26409284|16951205|26466571|18985154|24891321|21221095|19436741|28623251|28636592|25646416	A cloning and expression system to probe T-cell receptor specificity and assess functional avidity to neoantigens.
48	10.1200/JCO.2017.76.6212	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2018-08-16	30110194|28052061|27157491|23724867|20160101|29543932|28501092|28993052|28850174|27269741|2702835|28596308|14970275|27892511|25079317|19097774|29355075|27932067|26027431|26028255|28678668|29122777	CheckMate-032 Study: Efficacy and Safety of Nivolumab and Nivolumab Plus Ipilimumab in Patients With Metastatic Esophagogastric Cancer.
49	10.1093/annonc/mdy232	Annals of oncology : official journal of the European Society for Medical Oncology	2018-07-12	29992241	Pembrolizumab for advanced prostate adenocarcinoma: findings of the KEYNOTE-028 study.
50	10.1158/1078-0432.CCR-17-3452	Clinical cancer research : an official journal of the American Association for Cancer Research	2018-03-22	29559561	Safety and Antitumor Activity of Pembrolizumab in Patients with Estrogen Receptor-Positive/Human Epidermal Growth Factor Receptor 2-Negative Advanced Breast Cancer.
51	10.1038/nature25145	Nature	2018-03-16	29542692|28678778	Corrigendum: An immunogenic personal neoantigen vaccine for patients with melanoma.
52	10.1038/nrclinonc.2018.36	Nature reviews. Clinical oncology	2018-03-14	29532797|23743568|19934295|28271869|28592629|19097774|29341833|7459811	Immunotherapy: Immune-modified response criteria - an iterative learning process?
53	10.1002/cncr.31200	Cancer	2018-01-10	29313945	Endocrine dysfunction induced by immune checkpoint inhibitors: Practical recommendations for diagnosis and clinical management.
54	10.18632/oncotarget.22583	Oncotarget	2018-01-02	29290936|25765070|27159395|28489510|27683556|23636398|25838375|28846956	PD-1 inhibitors in endometrial cancer.
55	10.1038/nri.2017.131	Nature reviews. Immunology	2017-12-12	29226910|19717467|25860605|11509172|26205340|25584002|12908518|26214521|19995538|28244989|25901682|27084742|11130078|28678778|28239469|21189474|19974799|23133825|25800770|26669718|1840703|24480625|22318517|25765070|22658127|24812403|27775706|27084738|19155470|28202532|24048065|14976262|23912587|27093365|21048000|28228279|25877890|27084740|28024156|22258609|20518717|1712030|8564842|25837513|25891304|23415222|27928025|17344846|15623607|28596308|25483644|24739759|28228285|15340416|20408898|25762141|20100959|15252201|22842478|26093618|23569326|8097319|18245491|22437939|18418403|25482239|28678784|25625927|23335921|27757559|22790179|25594174|23885823|25136133|28185916|25409260|27576783|25531942|23644516|24891321|4573839|23633484|15024047|9050879|26515495|25625926|28102259|24837101|21894173|27149842|25428506|24788102|22437871|23770567|26501954|27926855|18724357|26181000|22318521|15309328|24871131|24590637|24583799|28233802|22065672|25493333|27550819|23945592|25838374|12242449|3882219|12473578|24457417|24782321|7513441|26158218|26359337|25786696|10430624|24043743|17517626|25101225|21506644|23032745|12682289|11913069|20092022|25428507|1984929|7753172|27146699|25959818|23539594|22397650|24309663|26781939|25838375|25415283|24894089|25485616|9120389|23890059|27029192|26923002|28847868|26516200|26093657|24913717|26027431|28187290|26028255|12947071|8145819|20818862|19890126|11134207|27433843|12925849|23460534|27350335|25001465|8977634|22237626|22658128|17975151|9500607	Towards personalized, tumour-specific, therapeutic vaccines for cancer.
56	10.1158/2159-8290.CD-17-0833	Cancer discovery	2017-11-05	29101162|24819215|20160101|28292435|22437869|25858804|26546453|28963140|23172153|3964538|27346349|19910308|28404866|27301722|27092830|28397821|26645196|28052254|26598942|27093365|27539742|26091043|27687979|25891304|28819027|16509995|27699239|25667295|23420877|28723893|26787823|22437870|25944800|19095563|19581407|23633484|28356390|19208382|26918260|26536825|24948366|18379575|27229745|26359337|24138885|25201530|24227677|25013076|23778140|22186141|24444711|26398076|26997480|28187290|27124452|25606824|27912061|27951441|27332730|28886003	
57	10.1200/JCO.2017.74.5471	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2017-11-03	29095678	Safety and Efficacy of Pembrolizumab in Advanced, Programmed Death Ligand 1-Positive Cervical Cancer: Results From the Phase Ib KEYNOTE-028 Trial.
58	10.1158/2326-6066.CIR-17-0208	Cancer immunology research	2017-10-29	29079654|23724867|28246107|22658127|25538262|25078147|26282644|25891304|24610577|68224|7018893|22437870|20525992|23724846|25891173|26186958|26115796|26181250|27571185|25751110|26027431|25605845|21088057	Characterization of Thyroid Disorders in Patients Receiving Immune Checkpoint Inhibition Therapy.
59	10.1200/JCO.2017.74.8681	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2017-09-08	28880745	Reply to F. Tomao et al.
60	10.1200/JCO.2017.72.5069	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2017-08-17	28813164	Pembrolizumab in Patients With Extensive-Stage Small-Cell Lung Cancer: Results From the Phase Ib KEYNOTE-028 Study.
61	10.1186/s40425-017-0273-y	Journal for immunotherapy of cancer	2017-08-16	28807048|26412456|20160101|25562142|27939400|24586709|27451390|23676462|24089443|23169436|27796306|24062984|26406148|27592805|28121507|25399552|25527358|27718847|26712084|26279307|25795410|27979383|26115796|27718784|26028407|27745820|25550543|26997480|28187290|24502656|27433843|26970723|27207108	Response to single agent PD-1 inhibitor after progression on previous PD-1/PD-L1 inhibitors: a case series.
62	10.1186/s40425-017-0259-9	Journal for immunotherapy of cancer	2017-07-19	28716097|27737878|19633580|19974799|19934295|19052742|25667295|20525992|21639810|19889297|19139884|27367184|20563267|27146699|22397654	Regression of multifocoal in transit melanoma metastases after palliative resection of dominant masses and 2 years after treatment with ipilimumab.
63	10.1038/nature22991	Nature	2017-07-06	28678778|27737878|25493333|22912393|12975468|18463140|21047511|24777245|24836921|28228285|21803805|21307934|25531942|25891173|26449664|28111070|25867923|25837513|19002680|22065672|25765070|19890126|8145819|8673703|25043048|21478889|28099864|24837101|24812403|24695405|24987109|19182786|24043743|21430775|27312342|1709722|21221095|25703262|25838375|27192170|25901682|21205303|23008334|27121950|22581179	An immunogenic personal neoantigen vaccine for patients with melanoma.
